username	tweet	hashtags	mentions
AsslikeNat	RT @tweetsbybob_: Taylor Swift, Kim K and Kylie seeing who can get to Starbucks first  https://t.co/MmOqe2pMIu	[]	['tweetsbybob_']
elliswes	RT @MenForFieIder: The Sun reports that Taylor Swift and Nathan Fielder are dating. https://t.co/ADVQlUXYVU	[]	['MenForFieIder']
screamkxng	"RT @robsheff: I'm enchanted to share some great news. I've written a new book called ""Heartbreak Is The National Anthem: How Taylor Swift R…"	['']	['robsheff']
fiyaevermore	RT @saturnosrings: i can’t explain why gilmore girls, taylor swift, coffee and reading are related, but they are	[]	['saturnosrings']
magneticksara	RT @evelyngfrick: sorry my main takeaway from this article is that taylor swift’s pianist is named karina depiano https://t.co/EotvDk31o1	[]	['evelyngfrick']
dougray71	RT @popstar_polls: Tall vs small: Taylor Swift or Kylie Minogue - who is hotter? #swifties #kylieminogue vote below https://t.co/5j9O0hev5P	['swifties', 'kylieminogue']	['popstar_polls']
saruhli	i wanna thank @spotify for always tossing a taylor swift cover in my discover weekly, they know me so well	[]	['spotify']
bigtvwill	Taylor Swift Wants You to Vote Early to Get President Trump Out of Office  https://www.vulture.com/2020/08/taylor-swift-criticizes-donald-trump-usps-mail-voting.html … by @devonsaysrelax	[]	['devonsaysrelax']
ledbettercarly	ALCOHOL?! RT @HuffingtonPost: Taylor Swift had an amazing time at the New York Knicks game  http://huff.to/1tlvGzE  pic.twitter.com/MvGIjgMeeu	[]	['huffingtonpost']
onthemoney	What an infinite supply of music means to fans, labels and Taylor Swift. @reckless joins Sue Herera:  http://cnb.cx/1zun23M  @CNBC 730 pm	[]	['reckless', 'cnbc']
vocabularycom	A courteous #shoutout to @joncaramanica and @joecoscarelli for the decorous use of “comity”  http://vocab.com/d/comity  in their sympathetic review of the new Taylor Swift doc “Miss Americana.” Goodwill’s not stunting: http://nyti.ms/2OHon5Z 	['#shoutout']	['joncaramanica', 'joecoscarelli']
tifftpham	For the Love of God, Taylor Swift, Please Take a Break From Dating by @Kort_Nay  https://onmogul.com/stories/for-the-love-of-god-taylor-swift-please-take-a-break-from-dating … via @onMogul #girlboss #mogul	['#girlboss', '#mogul']	['kort_nay', 'onmogul']
NUSL	RT @meghansmith55: How many Taylor Swift references can *you* count in this conversation between @jersiegel @BonjourParis_ &amp; @danielmedwed?…	[]	['meghansmith55', 'jersiegel', 'BonjourParis_', 'danielmedwed']
ibookwidgets	Throwback to 2015: Check out our @iBAConference video about how you can create iBooks and make them interactive with BookWidgets. Oh, yes, you'll find out all about Taylor Swift as well... #iBooks #edtech #widgets https://www.youtube.com/watch?v=KmbTomShM_Q …	['#ibooks', '#edtech', '#widgets']	['ibaconference']
jaybirdcom	"""Biggest Subscription Music Service in the World Doesn't Need Universal, Adele or Taylor Swift"" via @MusicBizWorld  http://ow.ly/QeUgZ "	[]	['musicbizworld']
_dfogz	"dylan (from the vault)
Mar 12i can no longer take this silence from taylor swift!! what is happening sis tell us"	[]	['_dfogz']
kevinoconnornba	"New @BillSimmons Podcast with me, Raja Bell and @ryenarussillo talking NBA Playoffs, team-building, and draft lottery results.

Then @NoraPrinciotti made her BS Pod debut talking all things NFL, Taylor Swift, live music, and way more. 

Two great convos. https://link.tospotify.com/I7aHDT7m88 "	[]	['billsimmons', 'ryenarussillo', 'noraprinciotti']
missvogueuk	From Taylor Swift to @ChloeGMoretz, here are our favourite looks from the #TeenChoiceAwards:  http://po.st/b2Pb7y  pic.twitter.com/7X18HvaAcZ	['#teenchoiceawards']	['chloegmoretz']
RepublicRecords	RT @billboard: Taylor Swift’s Eras Tour Is Even Bigger Than You Think — And These Streaming Stats Prove It https://t.co/WSaAAhYdlN	[]	['billboard']
MsVanillaRose	RT @MileyUpdates: Yesterday, sadly a 23 year old fan died at Taylor Swift’s show in Rio De Janeiro, Brazil, and thousands of fans were take…	['']	['MileyUpdates']
gaytimesmag	"A 2019 tweet from 
@kellyclarkson
 advising Swift to re-record her Masters has gone viral and now fans can’t stop praising the singer.Here’s why Taylor Swift fans can’t get enough of Kelly Clarkson right now
A tweet from Kelly Clarkson to Swift to re-record her Masters has gone viral and fans can’t stop praising the Since U Been Gone singer.
gaytimes.co.uk"	[]	['kellyclarkson']
Ktmoodles	RT @EmmaManzini: Totally loving Taylor Swift's suit, which is designed to break up her shape against the background, thereby making it diff…	[]	['EmmaManzini']
magicintheair96	"RT @theswiftvoting: ��| DON'T GIVE UP SWIFTIES

1. HS - 723.1k (+67.8k)
2. Taylor - 527.8k (+ 39.4k)

I'm voting for Taylor Swift for Artist…"	[]	['theswiftvoting']
made2travel	RT @eilenshow: Twitter Turns 7: Kim Kardashian, Taylor Swift, Ellen DeGeneres and More First Tweets - E! Online  http://bit.ly/11oEurY 	[]	['eilenshow']
shefinds	Taylor Swift Is Obsessed With These Cheap Sandals For Summer–And You Will Be,...  https://www.bloglovin.com/blogs/shefinds-18153453/taylor-swift-is-obsessed-with-these-cheap-6333578459 … on @bloglovin	[]	['bloglovin']
brandthunder	@Iipkloss @dxnutswift Have you seen this Taylor Swift Chrome theme?  https://gallery.brandthunder.com/en-US/theme/taylorswift#.VKR9SWTF-2o …	[]	['iipkloss', 'dxnutswift']
josephkahn	Special thanks on my Taylor Swift Target ad to motion graphics designer @someofmywork. Great eye and cool accent.  https://www.youtube.com/watch?v=8eDUf6TGuMs …	[]	['someofmywork']
snopes	"snopes.com
10hU.S. Sen. Lisa Murkowski, R-Alaska, simply tweeted a gif of Taylor Swift singing, “That will never, ever, ever, happen.”
snopes.com
Does Russia Want Alaska Back?
We all want what we can't have."	[]	['snopes']
TheMexicanFurby	RT @TroyONEtheHelo: Has anyone tried to bribe this guy with Taylor Swift tickets for this weekend? Heard she is in Chicago this weekend. Ma…	[]	['TroyONEtheHelo']
theriellestrada	"RT @tmlovesred2: Taylor Swift's daily streams on Spotify 

Fearless TV release day - 72M

Yesterday, a normal day - 77.7M"	[]	['tmlovesred2']
RollingStone	"RT @bylarisha: wrote about ""better than revenge"" and ""better than revenge (taylor's version)"" 

it's a crucial point in taylor swift’s comp…"	[]	['bylarisha']
stateoftiago	RT @medievalcowboy: i have theorized that taylor swift is the reincarnation of mary queen of scots (both 5’11 december sagittariuses who lo…	[]	['medievalcowboy']
Asmiirin	"RT @LaxusTS: Me on my way to sue Taylor Swift because she didn't asked for permission to write this is me trying about me:

 https://t.co/Z…"	[]	['LaxusTS']
shivampercy	RT @SpotifySwiftie: Fun fact: Taylor Swift extends her record as the artist with the MOST Top 5 entries on the Year-End Billboard 200 Album…	[]	['SpotifySwiftie']
corcorangroup	Taylor Swift's Cornelia Street home, previously only available to rent, is now also for sale for $18 million. 🎶 See inside the popstar's home, via @Forbes: https://t.co/Sae9bnX1Pm	[]	['Forbes']
sparklepruk	"Gorgeous! ""@GlamourMagUK: Taylor Swift posts make-up-free-selfie and she looks PURRRRFECT:  http://glmr.uk/8kPDBT ”"	[]	['glamourmaguk']
1ladyandatribe	@Fortune World's Greatest Leaders: People transforming business, government, philanthropy & more (incl Taylor Swift)  http://for.tn/1aFiJe5 	[]	['fortune']
tblanchfield	Taylor Swift vs. Katy Perry: hell yeah! (at @SoulCycle 19th in New York, NY)  https://www.swarmapp.com/c/5xiISY45S8j 	[]	['soulcycle']
dbsmasher	"Yesterday @benschumacher asked me about timezones and databases and I ended up listening to Taylor Swift on repeat.

I am still not over it"	[]	['benschumacher']
eentertainment	@SWIFTISGORGEOUS could Taylor Swift be Hollywood’s ultimate stunt woman? More tonight on #ENews at 7 & 11.	['#enews']	['swiftisgorgeous']
NBCPhiladelphia	" @JonBatiste
 hit the right notes at the #Grammys with both his music and words.
nbcphiladelphia.com
Jon Batiste's Grammys Speech for Album of the Year Win Deserves a Standing Ovation
Jon Batiste beat out Justin Bieber, Taylor Swift, Kanye West and more for 2022 Grammys album of the year. Get the details on his moving speech."	['Grammys']	['JonBatiste']
IwearCrocsAlot	RT @Dollemore: Never forget that Republicans despise Taylor Swift because she encouraged people to register to vote and take an active role…	['']	['Dollemore']
lauramitchem1	"RT @tswifterastour: 🚨| TAYLOR SWIFT PERFORMS A MASHUP OF ""I Don't Wanna Live Forever"" and ""imgonnagetyouback"" FOR THE ERAS TOUR IN MUNICH,…"	['']	['tswifterastour']
pastelcappucino	RT @SavLovesSwift: TAYLOR SWIFT TAKES BETTER CARE OF HER FANS THAN ANY OTHER CELEBRITY TELL ME I’M WRONG	[]	['SavLovesSwift']
DollRevolution	"RT @MichaelOrdona: After Taylor Swift praised Dylan O'Brien's work in ""All Too Well"" as ""charismatic-problematic,"" Cameron Bailey said, ""Ch…"	[]	['MichaelOrdona']
teamnotey	Taylor Swift's Mom Diagnosed w #Cancer thx @gawker via  http://Notey.com   http://bit.ly/1y9d9eq  Us #Swifties will #PrayForMamaSwift <3	['#cancer', '#swifties', '#prayformamaswift']	['gawker']
divamakeupqueen	I liked a @YouTube video from @pyrobooby  http://youtu.be/D3UsW3nC7bk?a  Taylor Swift - Shake It Off (Peter Chao Parody)	[]	['youtube', 'pyrobooby']
SamuelAAdams	RT @shanpalus: the experience of buying UK tickets to see Taylor Swift was been SO different (better!) than trying to get US tickets. not j…	[]	['shanpalus']
gong	'Taylor Swift and Calvin Harris Split After 15 Months Together' - PEOPLE  http://g.gon.gg/m/NTg5tEXxRt  via @Gong pic.twitter.com/0PVU9diCGX	[]	['gong']
johnson_carrie	Taylor Swift has jury duty, folks h/t @kpolantz https://twitter.com/WSMVHayleyMason/status/770302002719027200 …	[]	['kpolantz']
paddypower	"��NEW PODCAST ��
��Goodwood & Galway reflections
��Tips for the weekend
��@tregoningracing interview
��Paddy on Taylor Swift

Get it all straight ""From The Horse's Mouth""..."	[]	['tregoningracing']
dailybruin	"Taylor Swift's surprise release, ""folklore,"" is one for the books. The escapist concept album uses raw lyricism and soft instrumentals to bring romantic characters to life, writes @DailyBruinAE columnist Brooke Cuzick. https://dailybruin.com/2020/07/24/album-review-taylor-swift-delivers-stunning-storytelling-in-emotionally-raw-folklore …"	[]	['dailybruinae']
usweekly	"Us Weekly
Dec 16Kim Kardashian is making it clear that she’s over her years-long feud with Taylor Swift in the most low-key way.
usmagazine.com
'Cute and Catchy'! Kim Kardashian Praises Taylor Swift's Music After Feud
Kim Kardashian and Taylor Swift’s fight started in 2016 after the release of Kanye West’s song ‘Famous,' which references the singer — read more"	[]	['usweekly']
arthur_affect	"
Kacey Musgraves started out way way WAY ""woker"" than Taylor Swift and her musical style is as steadfastly country as it gets and has been for her whole career"	[]	['arthur_affect', 'KidThorazineBut']
apentertainment	Taylor Swift (@taylorswift13) is set to perform at the MTV Video Music Awards (@vmas) later this month. http://apne.ws/W02qAjO 	[]	['taylorswift13', 'vmas']
greg_sedlik1	@swiftlycourtney Hi Courtney have fun seeing Taylor Swift on your Birthday and stay safe and healthy. 😀💖🌺	[]	['swiftlycourtney']
lwtxprfct	"@Louis_Tomlinson
 I knew you were a trouble when you walked in, so shame on me che sono sottona e ti amoI Knew You Were Trouble. - Taylor Swift
open.spotify.com"	[]	['Louis_Tomlinson']
NME	"RT @NME: Taylor Swift joined Justin Vernon and The National's Aaron Dessner in London to perform 'Exile' from her album 'Folklore'

Watch t…"	[]	['NME']
OKMagazine	"OK! Magazine USA
7h#ShawnMendes could be in trouble with #TaylorSwift!
Shawn Mendes Throws Shade At Taylor Swift's Boyfriend Joe Alwyn, Says Actor Has 'A Villain Look'
Shawn Mendes threw shade at Taylor Swift's longtime boyfriend Joe Alwyn during a lie detector test with 'Vanity Fair'.
okmagazine.com"	['ShawnMendes', 'TaylorSwift']	['OKMagazine']
BolbiRL	"@uwmPhantom As Theo ""Phantom"" Johnson once said: As Taylor Swift once said: You play stupid games, you win stupid prizes"	[]	['uwmPhantom']
lilahb_beauty	"""12 Ways to Dress like You’re in Taylor Swift’s Bad Blood Girl Gang""  http://buff.ly/1FBWlwQ  @Britandco #divineduo #lilahb"	['#divineduo', '#lilahb']	['britandco']
long	@chrisfmills my company just created a Taylor Swift infographic about her savvy business moves. Feel free to use it:  http://bit.ly/1xyB9av 	[]	['chrisfmills']
